A list of all Math methods can be found in the table below:


Method               Description                                                                 Return Type
-------------------------------------------------------------------------------------------------------------
abs(x)               Returns the absolute value of x                                             double | float | int | long
acos(x)              Returns the arccosine of x, in radians                                     double
addExact(x, y)       Returns the sum of x and y                                                  int | long
asin(x)              Returns the arcsine of x, in radians                                       double
atan(x)              Returns the arctangent of x as a numeric value between -PI/2 and PI/2      double
atan2(y, x)          Returns the angle theta from rectangular to polar coordinates              double
cbrt(x)              Returns the cube root of x                                                 double
ceil(x)              Returns the value of x rounded up to its nearest integer                   double
copySign(x, y)       Returns x with the sign of y                                               double | float
cos(x)               Returns the cosine of x (x in radians)                                     double
cosh(x)              Returns the hyperbolic cosine of a double value                            double
decrementExact(x)    Returns x-1                                                                int | long
exp(x)               Returns the value of Ex                                                    double
expm1(x)             Returns ex -1                                                              double
floor(x)             Returns the value of x rounded down to its nearest integer                 double
floorDiv(x, y)       Returns x divided by y rounded down                                        int | long
floorMod(x, y)       Returns remainder where division was rounded down                          int | long
getExponent(x)       Returns the unbiased exponent used in x                                    int
hypot(x, y)          Returns sqrt(x² + y²) without intermediate overflow/underflow              double
IEEEremainder(x, y)  Computes IEEE 754 remainder of x and y                                     double
incrementExact(x)    Returns x+1                                                                int | double
log(x)               Returns the natural logarithm (base E) of x                                double
log10(x)             Returns the base 10 logarithm of x                                         double
log1p(x)             Returns the natural log (base E) of (x+1)                                  double
max(x, y)            Returns the number with the highest value                                  double | float | int | long
min(x, y)            Returns the number with the lowest value                                   double | float | int | long
multiplyExact(x, y)  Returns the result of x multiplied by y                                    int | long
negateExact(x)       Returns the negation of x                                                  int | long
nextAfter(x, y)      Returns floating point adjacent to x in the direction of y                 double | float
nextDown(x)          Returns floating point adjacent to x in the negative direction             double | float
nextUp(x)            Returns floating point adjacent to x toward positive infinity              double | float
pow(x, y)            Returns the value of x to the power of y                                   double
random()             Returns a random number between 0 and 1                                    double
rint(x)              Returns the double value closest to x and equal to a mathematical integer  double
round(x)             Returns the value of x rounded to its nearest integer                      long | int
scalb(x, y)          Returns x multiplied by 2^y                                                double | float
signum(x)            Returns the sign of x                                                      double | float
sin(x)               Returns the sine of x (x in radians)                                       double
sinh(x)              Returns the hyperbolic sine of a double value                              double
sqrt(x)              Returns the square root of x                                               double
subtractExact(x, y)  Returns the result of x minus y                                            int | long
tan(x)               Returns the tangent of an angle                                            double
tanh(x)              Returns the hyperbolic tangent of a double value                           double
toDegrees(x)         Converts radians to degrees (approximate)                                  double
toIntExact(x)        Converts a long value to an int                                            int
toRadians(x)         Converts degrees to radians (approximate)                                  double
ulp(x)               Returns the unit of least precision (ulp) of x                             double | float
